advertiser_name,Category,Relevent_Score
Nielsen,Other,-1
Mattress Firm,eCommerce,1
Nubank,Other,-1
Edelman West,Other,-1
Baby Jogger,Other,-1
Audience Buyer,eCommerce,0
Oculus,eCommerce,0
Datonics,eCommerce,-1
Allround,Other,-1
P.F. Chang's,Food,1
Turing,Other,-1
PulsePoint,eCommerce,-1
Armorblox,Other,-1
Cong Ty Tnhh Tin Hoc Vuong Luan,Other,-1
Zapier,eCommerce,0
Games2Win,Software,0
Digital LeadSource,Other,-1
Pinkston,Other,-1
Twitch,Software,1
PurpleTrail,Other,-1
Cash App,Software,1
Markivis,Other,-1
Wix,Other,-1
First Hawaiian Bank,Finance,-1
Screencastify,Software,0
B4B,Other,-1
Personal Capital,Finance,-1
The Wall Street Journal,Media,1
Indiana University of Pennsylvania,Education,0
Mercari,Other,-1
DeveloperMedia,Media,0
Ai Media Group,Media,0
Sociobliss,Other,-1
Bully Pulpit Interactive,Other,-1
CheckPoint,Other,-1
Pocket Gems,Other,-1
Lowe's Home Improvement,eCommerce,1
HP,eCommerce,1
RM McDonald's Local,Food,1
WBCI,Other,-1
Serasa,Other,-1
Myntra,Other,-1
Lands' End,Other,-1
Clockmaker,Other,-1
Gopuff,Other,-1
Paytm,Finance,0
Lifescript: Womenâs Health,eCommerce,0
Hapulico,Other,-1
Venmo,Other,-1
1stDibs,Other,-1
The Electron Shop,Election,1
Career Blast,Media,0
Goodway,Other,-1
Plarium - Social gaming,Other,-1
National Park Foundation,Other,-1
Ponto,Other,-1
Marathon Strategies,Other,-1
MGL MyCom,Other,-1
IgnitionOne,Other,-1
Gap Inc,eCommerce,0
eBay,eCommerce,1
Elephant Stock,Other,-1
Do Big Things,Other,-1
Publicis Brasil,Other,-1
Advanced Contextual,Other,-1
Matchington Mansion,Other,-1
TaskRabbit,Other,-1
Calendly,Other,-1
Rescue: The Behavior Change Agency,Other,-1
Way2BYou,Other,-1
T.J.Maxx,eCommerce,0
Olive Garden,Food,0
Current,Other,-1
Mode,Other,-1
TGI Fridays,Food,0
Vidyard,Other,-1
Lenovo United States,eCommerce,0
Glassdoor,Media,0
Splunk,Software,1
Yamaha Racing Brasil,Other,-1
MarketingProfs,Other,-1
Kins,Other,-1
Adweek,Other,-1
Lower My Bills,Finance,0
iProspect,Finance,-1
Esurance,Finance,0
Linear 360,Other,-1
Southwest Airlines,eCommerce,1
MediaCom USA,Media,0
Go BIG Media,Media,0
Forward,Media,0
Ramoji Film City,Media,0
Dstillery Data,Other,-1
9Rooftops Marketing North,Other,-1
Twitter Inc,Media,1
Bom Pra CrÃ©dito,Other,-1
Democratic Party,Election,1
Wayfair,eCommerce,1
Semalt SEO prices and discounts,Other,-1
Zoom Video Communications,Software,0
