advertiser_name,Category,Relevent_Score
Nielsen,Other,0
Mattress Firm,Bed and Bath,1
Nubank,Other,0
Edelman West,Other,0
Baby Jogger,Other,0
Audience Buyer,Electronics,0
Oculus,Electronics,0
Datonics,Electronics,0
Allround,Other,0
P.F. Chang's,Food,1
Turing,Other,0
PulsePoint,HealthCare,0
Armorblox,Other,0
Cong Ty Tnhh Tin Hoc Vuong Luan,Other,0
Zapier,Home Goods,0
Games2Win,Online Games,0
Digital LeadSource,Other,0
Pinkston,Other,0
Twitch,App,1
PurpleTrail,Other,0
Cash App,App,1
Markivis,Other,0
Wix,Other,0
First Hawaiian Bank,Finance,0
Screencastify,App,0
B4B,Other,0
Personal Capital,Finance,0
The Wall Street Journal,Media,1
Indiana University of Pennsylvania,Education,0
Mercari,Other,0
DeveloperMedia,Media,0
Ai Media Group,Media,0
Sociobliss,Other,0
Bully Pulpit Interactive,Other,0
CheckPoint,Other,0
Pocket Gems,Other,0
Lowe's Home Improvement,Home Goods,1
HP,Print,1
RM McDonald's Local,Food,1
WBCI,Other,0
Serasa,Other,0
Myntra,Other,0
Lands' End,Other,0
Clockmaker,Other,0
Gopuff,Other,0
Paytm,Finance,0
Lifescript: Womenâs Health,Healthcare,0
Hapulico,Other,0
Venmo,Other,0
1stDibs,Other,0
The Electron Shop,Election,1
Career Blast,Jobs,0
Goodway,Other,0
Plarium - Social gaming,Other,0
National Park Foundation,Other,0
Ponto,Other,0
Marathon Strategies,Other,0
MGL MyCom,Other,0
IgnitionOne,Other,0
Gap Inc,eCommerce,0
eBay,eCommerce,1
Elephant Stock,Other,0
Do Big Things,Other,0
Publicis Brasil,Other,0
Advanced Contextual,Other,0
Matchington Mansion,Other,0
TaskRabbit,Other,0
Calendly,Other,0
Rescue: The Behavior Change Agency,Other,0
Way2BYou,Other,0
T.J.Maxx,eCommerce,0
Olive Garden,Food,0
Current,Other,0
Mode,Other,0
TGI Fridays,Food,0
Vidyard,Other,0
Lenovo United States,Electronics,0
Glassdoor,Jobs,0
Splunk,Enterprise Software,1
Yamaha Racing Brasil,Other,0
MarketingProfs,Other,0
Kins,Other,0
Adweek,Other,0
Lower My Bills,Finance,0
iProspect,Finance,0
Esurance,Finance,0
Linear 360,Other,0
Southwest Airlines,Travel,1
MediaCom USA,Media,0
Go BIG Media,Media,0
Forward,Media,0
Ramoji Film City,Entertainment,0
Dstillery Data,Other,0
9Rooftops Marketing North,Other,0
Twitter Inc,Social Media,1
Bom Pra CrÃ©dito,Other,0
Democratic Party,Election,1
Wayfair,eCommerce,1
Semalt SEO prices and discounts,Other,0
Zoom Video Communications,Enterprise Software,0
Mic ro MAC RO Agency,Other,0
360i,Other,0
Noble People,Other,0
Automation Anywhere,Enterprise Software,0
Triplebyte,Other,0
Stirista,Other,0
US Money Reserve,Finance,0
Michaels,eCommerce,0
SwellShark,Other,0
Intellipaat.com,Other,0
Ampush,Other,0
Ivanti,Other,0
Validity,Other,0
Chipotle Mexican Grill,Food,1
Cymulate Ltd,Other,0
PeopleFun,Other,0
Afterpay USA,Finance,0
SmartNews,Media,0
AdRoll,Other,0
Rakuten,eCommerce,0
Conill Advertising,Other,0
DDC Public Affairs,Election,0
Health IQ - Special Rate Insurance,Insurance,0
Planit,Other,0
RLH Corporation,Other,0
Infinia Systems,Other,0
Udemy,Education,1
The Motley Fool,Media,0
Highspot,Other,0
Popsycle Digital Marketing,Other,0
Keap,Other,0
Playrix,Other,0
FB App,App,0
Instagram,App,1
Burberry,Other,0
Melhores ImÃ³veis,Other,0
Xoom,Finance,0
US Health Advisors Fort Lauderdale,Other,0
Myosin,Other,0
MuleSoft,Enterprise Software,0
Academics' Choice Awards,Entertainment,1
Intellimize,Other,0
Homesense US,Other,0
metadata.io,Other,0
DRI Seasons 52,Other,0
Amanotes Pte Ltd,Other,0
Afterpay,Finance,0
Somos Votantes,Other,0
Confluent,Enterprise Software,0
Susthiraa Infra,Other,0
Nikhil nawathe,Bed and Bath,1
MainStreet Work,Other,0
Mediacom International USD,Other,0
Manning Publications,Other,0
SkinnyBox,Electronics,0
Nutrition Degreelink,Electronics,0
Utah Office of Tourism,Electronics,0
Lark,Other,0
Gremlin,Food,1
Investopedia,Other,0
Inbox Insight,HealthCare,0
edjing,Other,0
Mango Technologies,Other,0
Netflix,Home Goods,0
Reason,Online Games,0
Anchor Trading,Other,0
Snowplow Analytics,Other,0
Superside,App,1
Productreportcard.com,Other,0
AMP Agency,App,1
Mistplay,Other,0
Symplify,Other,0
Hilton Newsroom,Finance,0
Chupamobile,App,0
Subway,Other,0
I360 LLC,Finance,0
Allround School,Media,1
CTP,Education,0
Amanda Brazel,Other,0
ShopSavvy,Media,0
The Ramey Agency,Media,0
TrueData,Other,0
BabyCenter,Other,0
Backcountry,Other,0
Payhawk,Other,0
Sacred Heart Academy - Official Page,Home Goods,1
YourMechanic,Print,1
hilifewomen,Food,1
Zynga Inc.,Other,0
Lark Ads,Other,0
Airtable,Other,0
